Nombre del recurso,Academia/Instituto,Archivos,Descripción del recurso,Efecto panico,Función del mensaje,Idioma que enseña,Link,Material Base,Número,Subítem,Texto,Tipo de palabra,Tipo de recurso,Tipo de signo,descripción del signo,ítem principal
Doctor,CCch,doctor.png,"La imagen tiene un fondo gris claro. En la parte izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene caracteres chinos en negro, la palabra ""doctor/a"" en azul y la palabra ""shēng"" en rojo. A la derecha de la burbuja, hay una ilustración de un médico con una bata blanca y un estetoscopio, de pie en lo que parece ser una oficina o consultorio médico con estantes y un monitor de computadora. Los colores predominantes son el gris claro del fondo, el blanco de la burbuja y la bata del médico, el negro del texto, el azul del borde de la burbuja y los muebles de la oficina, y el rojo de la palabra ""shēng"".",No,Anclaje,Chino Mandarín,,Desconocido,71,,,Profesión/ocupación,Ilustración,Icono,,
Empleado,CCch,empleado.png,"La imagen tiene un fondo gris claro. En la parte izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene caracteres chinos en negro, la palabra ""empleado/a"" en azul y la palabra ""yuán"" en rojo. A la derecha de la burbuja, hay una ilustración de un hombre con barba sentado en un escritorio con un ordenador y una silla de oficina. Los colores predominantes son el gris claro del fondo, el blanco de la burbuja, el negro del texto, el azul del borde de la burbuja y la palabra ""empleado/a"", el rojo de la palabra ""yuán"", el morado de la camisa del hombre y la silla, y el marrón claro del escritorio.",No,Anclaje,Chino Mandarín,,Desconocido,72,,,Profesión/ocupación,Ilustración,Icono,La imagen es muy poco especifica,
Chofer,CCch,chofer.png,"La imagen tiene un fondo gris claro. En la parte izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene caracteres chinos en negro, la palabra ""chofer"" en azul y la palabra ""sījī"" en rojo. A la derecha de la burbuja, hay una ilustración de un chofer con uniforme y gorra, de pie junto a la parte delantera de un coche marrón. Los colores predominantes son el gris claro del fondo, el blanco de la burbuja, el negro del texto y el uniforme del chofer, el azul del borde de la burbuja y la palabra ""chofer"", y el rojo de la palabra ""sījī"" y el coche.",No,Anclaje,Chino Mandarín,,Desconocido,73,,,Profesión/ocupación,Ilustración,Icono,,
Chef,CCch,chef.png,"La imagen tiene un fondo gris claro. En la parte izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene caracteres chinos en negro, la palabra ""chef"" en azul y la palabra ""chúshī"" en rojo. A la derecha de la burbuja, hay una ilustración de un chef con un gorro blanco y un uniforme de chef, sosteniendo un plato con un pollo asado. Los colores predominantes son el gris claro del fondo, el blanco de la burbuja y el uniforme del chef, el negro del texto, el azul del borde de la burbuja y la palabra ""chef"", y el rojo de la palabra ""chúshī"" y el pollo asado.",No,Anclaje,Chino Mandarín,,Desconocido,74,,,Profesión/ocupación,Ilustración,Icono,,
Abogado,CCch,abogado.png,"La imagen tiene un fondo gris claro. En la parte izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene caracteres chinos en negro, la palabra ""abogado/a"" en azul y la palabra ""lǜshī"" en rojo. A la derecha de la burbuja, hay una ilustración de un abogado con un traje y una balanza de la justicia. Los colores predominantes son el gris claro del fondo, el blanco de la burbuja, el negro del texto y el traje del abogado, el azul del borde de la burbuja y la palabra ""abogado/a"", y el rojo de la palabra ""lǜshī"".",No,Anclaje,Chino Mandarín,,Desconocido,75,,,Profesión/ocupación,Ilustración,Icono,,
Estudiante,CCch,Estudiante.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""estudiante"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""xuéshēng"" en rojo, la palabra ""estudiante"" en negro y caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de varios niños en un aula, levantando las manos. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul de los uniformes de los niños y el azul del borde de la burbuja.",No,Anclaje,Chino Mandarín,,Desconocido,76,,,Profesión/ocupación,Foto,Icono,,
Profesora,CCch,Profesora.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""profesor/a"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""lǎoshī"" en rojo, la palabra ""profesor/a"" en negro y caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de una mujer joven sonriendo y señalando una pizarra blanca con texto en chino. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul del borde de la burbuja y los tonos de la fotografía (blanco, negro, tonos de piel).",No,Anclaje,Chino Mandarín,,Desconocido,77,,,Profesión/ocupación,Foto,Icono,,
No,CCch,NO.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""no"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""bú/bù"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una imagen de la palabra ""No!"" en negro con una línea roja tachándola. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",No,Anclaje,Chino Mandarín,,Desconocido,78,,,"Expresión Fática, Negación",Foto,Icono,,
No,CCch,no2.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""no"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""bù"" en rojo, la palabra ""no"" en negro y un carácter chino en negro. A la derecha de la burbuja, hay una imagen de un hombre haciendo un gesto con el dedo índice, con un fondo degradado de azul a rosa. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y el morado.",No,Anclaje,Chino Mandarín,,Desconocido,79,,,"Expresión Fática, Negación",Foto,Icono,,
Cuánto,CCch,cuanto2.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""cuánto/a"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""duōshao"" en rojo y caracteres chinos en negro. A la derecha de la burbuja, hay una imagen de una mano dibujando un signo de interrogación en un papel, con monedas y billetes de euro al lado. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de las monedas y billetes.",No,Anclaje,Chino Mandarín,,Desconocido,80,,"Cuanto, puede hacer relacion a mas que cosas que tengan que ver con dinero",Interrogación,Foto,índice,Los elementos individuales de la imagen indican una pregunta,
Cuánto,CCch,cuanto.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""cuánto/a"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""jǐ"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una imagen de Fry de Futurama, con una expresión de asombro y sosteniendo billetes, con la palabra ""CUANTO"" en mayúsculas blancas sobre un fondo negro. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la ilustración de Fry.",Si,Anclaje,Chino Mandarín,,Desconocido,81,,la particula jǐ usualmente se ocupa para contar “algunas” cosas. No tiene que ver tanto con dinero o compras,Interrogación,meme,Icono,,
Preguntar,CCch,preguntar.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""preguntar"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""wèn"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una ilustración de una niña sentada en un pupitre, levantando la mano y con un signo de interrogación en una burbuja de diálogo sobre su cabeza. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la ilustración de la niña.",No,Anclaje,Chino Mandarín,,Desconocido,82,,,Interrogación,Ilustración,Icono,,
Donde,CCch,donde.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""dónde"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""nǎr"" en rojo y caracteres chinos en negro. A la derecha de la burbuja, hay una ilustración de un hombre de negocios confundido, de pie junto a un poste con señales de dirección en blanco. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y el naranja de las señales.",No,Anclaje,Chino Mandarín,,Desconocido,83,,,Interrogación,Ilustración,Icono,,
Que tal,CCch,quetal.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la frase ""Qué tal"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""zěnmeyàng"" en rojo y caracteres chinos en negro. A la derecha de la burbuja, hay una imagen de un hombre en una oficina con la frase ""¿QUÉ TAL?"" en un cuadro de texto blanco. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía del hombre.",Si,Anclaje,Chino Mandarín,,Desconocido,84,,"es raro, como que no se sabe a quien se dirije",Interrogación,meme,Icono,,
Que fecha,CCch,quefechaeshoy.png,"La imagen tiene un fondo gris claro. En la parte izquierda, hay tres burbujas de diálogo apiladas verticalmente. Cada burbuja es blanca con un borde verde y contiene texto en chino (caracteres negros y pinyin rojo) y una traducción al español en morado. La primera burbuja dice ""¿Qué fecha es hoy?"", la segunda ""¿Qué fecha es mañana?"" y la tercera ""¿Qué fecha es pasado mañana?"". A la derecha de las burbujas, hay una imagen de Arnold Schwarzenegger de la película Terminator, bajándose las gafas de sol. Los colores predominantes son el gris claro del fondo, el blanco de las burbujas, el negro de los caracteres chinos, el rojo del pinyin, el morado del texto en español y los tonos de la fotografía de Arnold Schwarzenegger.",Si,Anclaje,Chino Mandarín,,Desconocido,85,,"¿Porque terminator representa las fechas (hoy, mañana)? es porque viajó en el tiempo?",Interrogación,meme,índice,,
Qué/Cuál/Cómo,CCch,QueCualComo.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la frase ""Qué/Cuál/Cómo"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""shénme"" en rojo y caracteres chinos en negro. A la derecha de la burbuja, hay una imagen de un hombre con una expresión de confusión y signos de interrogación flotando alrededor de su cabeza. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía del hombre.",No,Anclaje,Chino Mandarín,,Desconocido,86,,,Interrogación,meme,Icono,"Tiene cara de duda, asi que debe ser una inferencia de que quiere preguntar algo",
Quien,CCch,Quien.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""Quién"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""shéi"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una imagen de Mr. Bean con una expresión de confusión, con la palabra ""Quien?"" repetida tres veces en un cuadro de texto blanco. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de Mr. Bean.",No,Anclaje,Chino Mandarín,,Desconocido,87,,mr bean?,Interrogación,meme,índice,Su expresión de confusión es indicio de que quiere preguntar algo,
Partícula final,CCch,ne.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la frase ""partícula final"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""ne"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay un signo de interrogación pixelado en azul y una fotografía de una niña con una expresión de confusión. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de la niña.",Si,Anclaje,Chino Mandarín,,Desconocido,88,,Particula final no conecta realmente con lo que quiere decir la imagen,Interrogación,meme,índice,Su expresión de confusión es indicio de que quiere preguntar algo,
Cuál,CCch,Cual.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""Cuál"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""nǎ"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una imagen de un perro husky con una expresión de sorpresa y un signo de interrogación en un cuadro de texto blanco. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos del perro husky.",Si,Anclaje,Chino Mandarín,,Desconocido,89,,,Interrogación,meme,índice,Su expresión de sorpres es indicio de que quiere preguntar algo,
En el colegio,CCch,en_el_colegio.png,"La imagen tiene un fondo gris claro. En la parte superior, hay una burbuja de diálogo blanca con un borde morado que contiene texto en chino (caracteres negros y pinyin rojo) y una traducción al español en morado, que dice ""¿Cómo te llamas?"". Debajo de esta burbuja, hay una fotografía de una mujer joven sonriendo y saludando a un hombre que le da la espalda. En la parte inferior izquierda, hay otra burbuja de diálogo blanca con un borde verde que contiene texto en chino (caracteres negros y pinyin rojo) y una traducción al español en azul, que dice ""Me llamo Li Yue."". Los colores predominantes son el gris claro del fondo, el blanco de las burbujas, el negro de los caracteres chinos, el rojo del pinyin, el morado y azul del texto en español, y los tonos de la fotografía de las personas.",No,Relevo,Chino Mandarín,,Desconocido,90,,,Interrogación,Foto,índice,,
Partícula interrogativa,CCch,particulainterrogativa.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la frase ""partícula interrogativa"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""ma"" en rojo, un signo de interrogación pequeño y un carácter chino en negro. A la derecha de la burbuja, hay una imagen de un hombre con una expresión de confusión y signos de interrogación flotando alrededor de su cabeza. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía del hombre.",No,Anclaje,Chino Mandarín,,Desconocido,91,,,Interrogación,meme,índice,Su expresión de confusión es indicio de que quiere preguntar algo,
Cómo,CCch,como.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""cómo"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""zěnme"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una fotografía en blanco y negro de un hombre con una expresión de sorpresa y la palabra ""¿Cómo?"" en un cuadro de texto blanco. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía en blanco y negro.",Si,Anclaje,Chino Mandarín,,Desconocido,92,,,Interrogación,meme,índice,Su expresión de confusión es indicio de que quiere preguntar algo,
Gustarse,CCch,amor.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""gustarse"" en negro. En la parte inferior izquierda, hay un corazón rojo brillante. A la derecha del corazón, hay una burbuja de diálogo blanca con un borde azul que contiene un carácter chino en negro y la palabra ""ài"" en rojo. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",Si,Anclaje,Chino Mandarín,,Desconocido,93,,"La palabra gustarse me genera problemas, es muy raro decir “gustarse” en español, la palabra podria traducirse a “amar”, o “querer”",Verbos,Ilustración,Icono,,
Conocer,CCch,conocer.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""conocer"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""rènshi"" en rojo y caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de dos personas dándose la mano en un entorno de oficina, con otras personas difuminadas al fondo. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de las personas.",No,Anclaje,Chino Mandarín,,Desconocido,94,,,Verbos,Foto,índice,El acto de saludo es un indicio de que se están conociendo,
Contento,CCch,contento.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""contento/a"" en negro. En la parte inferior derecha, hay una burbilla de diálogo blanca con un borde azul que contiene caracteres chinos en negro y la palabra ""gāoxìng"" en rojo. A la izquierda de la burbuja, hay una fotografía de un hombre riendo mientras habla por teléfono. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía del hombre.",No,Anclaje,Chino Mandarín,,Desconocido,95,,,Conceptos,Foto,Icono,,
Palabra,CCch,palabra.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""palabra"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""zì"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una hoja de papel cuadriculada con caracteres chinos escritos a mano. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo y el azul.",No,Anclaje,Chino Mandarín,,Desconocido,96,,,Conceptos,Foto,Icono,,
Edad,CCch,edad.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""edad"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""suì"" en rojo y un carácter chino en negro. A la derecha de la burbuja, hay una ilustración de cinco figuras humanas que representan diferentes edades (1, 7, 15, 25, 45 y 75 años). Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de las ilustraciones de las personas.",No,Anclaje,Chino Mandarín,,Desconocido,97,,,Conceptos,Ilustración,Icono,,
Se ve diferente,CCch,sevediferente.png,"La imagen muestra un cartel de madera con un borde irregular y un poste en la parte inferior. El cartel es de color beige claro con un borde morado. En la parte superior del cartel, en negrita y negro, se lee ""bián yàng"". Debajo, en letras más pequeñas y negras, se lee ""se ve diferente"". En la parte inferior izquierda del cartel, hay dos caracteres chinos en negro. A la derecha de los caracteres chinos, hay una fotografía de dos rostros de mujer, uno al lado del otro, que parecen ser un ""antes y después"" de un procedimiento estético. Los colores predominantes son el beige claro del cartel, el morado del borde y el poste, el negro del texto y los caracteres, y los tonos de piel de las mujeres en la fotografía.",Si,Anclaje,Chino Mandarín,,Desconocido,98,,"culturalmente, es un poco extraño que la imagen remita a una operacion plastica. Ademas, asumimos que es la misma persona? siento que tiene un juicio de valor no explicito",Conceptos,Foto,índice,La primera foto en contraste con la otra es un indice de “se ve diferente”,
Elegir,CCch,elegir.png,"La imagen muestra un cartel de madera con un borde irregular y un poste en la parte inferior. El cartel es de color beige claro con un borde morado. En la parte superior del cartel, en negrita y negro, se lee ""xuǎn zé"". Debajo, en letras más pequeñas y negras, se lee ""elegir"". A la izquierda de la palabra ""elegir"", hay dos caracteres chinos en negro. A la derecha de la palabra ""elegir"", hay una ilustración de una persona de pie en una encrucijada, con flechas apuntando en diferentes direcciones. Los colores predominantes son el beige claro del cartel, el morado del borde y el poste, el negro del texto y los caracteres, y los tonos de la ilustración de la persona y las flechas.",No,Anclaje,Chino Mandarín,,Desconocido,99,,,Conceptos,Ilustración,Icono,,
Pánico,CCch,PANICO.png,"La imagen muestra un cartel de madera con un borde irregular y un poste en la parte inferior. El cartel es de color beige claro con un borde morado. En la parte superior del cartel, en negrita y negro, se lee ""huāng luàn"". Debajo, en letras más pequeñas y negras, se lee ""pánico"". A la izquierda de la palabra ""pánico"", hay dos caracteres chinos en negro. A la derecha de la palabra ""pánico"", hay una ilustración de una persona sentada en un escritorio, rodeada de papeles volando, con una expresión de pánico. Los colores predominantes son el beige claro del cartel, el morado del borde y el poste, el negro del texto y los caracteres, y los tonos de la ilustración de la persona y los papeles.",Si,Anclaje,Chino Mandarín,,Desconocido,100,,,Conceptos,Ilustración,índice,La situacion del personaje en la imagen indica que siente panico,
Pobre,CCch,pobre.png,"El cartel de madera tiene un borde irregular y un poste en la parte inferior. El cartel es de color beige claro con un borde morado. En la parte superior del cartel, en negrita y negro, se lee ""qióng"". Debajo, en letras más pequeñas y negras, se lee ""pobre"". A la izquierda de la palabra ""pobre"", hay un carácter chino en negro. A la derecha de la palabra ""pobre"", hay una ilustración de un hombre sentado en el suelo, con ropa andrajosa y sosteniendo una taza, con una expresión triste. Los colores predominantes son el beige claro del cartel, el morado del borde y el poste, el negro del texto y el carácter, y los tonos de la ilustración del hombre.",No,Anclaje,Chino Mandarín,,Desconocido,101,,,Conceptos,Ilustración,Icono,,
Tragar,CCch,tragar.png,"La imagen tiene un fondo gris claro en la parte izquierda y una fotografía en la parte derecha. En la parte izquierda, hay un cuadro blanco con un borde rosa que contiene la palabra ""tūn"" en azul y un carácter chino en negro. Encima del cuadro, hay un texto en naranja entre paréntesis que dice ""(tragar)"". La fotografía de la derecha muestra a una persona tragando una espada. Los colores predominantes son el gris claro, el blanco, el rosa, el azul, el negro, el naranja y los tonos de la fotografía.",Si,Anclaje,Chino Mandarín,,Desconocido,102,,poner a alguien tragando un sable es un poco extremo para representar tragar? la imagen pudo ser “show” “circo” “peligro”. Pero porque es tragar?,Verbos,Foto,Icono,,
Ensayo,CCch,ensayo.png,"La imagen tiene un fondo gris claro en la parte izquierda y una fotografía en la parte derecha. En la parte izquierda, hay un cuadro blanco con un borde rosa que contiene la palabra ""wén"" en azul y un carácter chino en negro. Encima del cuadro, hay un texto en naranja entre paréntesis que dice ""(ensayo)"". La fotografía de la derecha muestra a una mujer joven escribiendo en un escritorio, con una estantería llena de libros al fondo. Los colores predominantes son el gris claro, el blanco, el rosa, el azul, el negro, el naranja y los tonos de la fotografía.",Si,Anclaje,Chino Mandarín,,Desconocido,103,,la imagen podria ser “estudiar””estudiante””biblioteca”. Ensayo tiene otra connotacion que creo que no va bien con la imagen,Cosas,Foto,Icono,no estoy segura,
Con calma,CCch,calma.png,"La imagen tiene un fondo gris claro en la parte izquierda y una fotografía en la parte derecha. En la parte izquierda, hay un cuadro blanco con un borde rosa que contiene la palabra ""gōngxīn"" en azul y verde, y un carácter chino en negro. Encima del cuadro, hay un texto en naranja entre paréntesis que dice ""(calma)"". La fotografía de la derecha muestra a una persona sentada en un muelle de madera, mirando hacia el mar en un día soleado. Los colores predominantes son el gris claro, el blanco, el rosa, el azul, el verde, el negro, el naranja y los tonos de la fotografía.",No,Anclaje,Chino Mandarín,,Desconocido,104,,,Conceptos,Foto,Icono,,
Señorita,CCch,seorita.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""señorita"" en negro. En la parte inferior derecha, hay una burbuja de diálogo blanca con un borde azul que contiene caracteres chinos en negro y la palabra ""xiǎojiě"" en rojo. A la izquierda de la burbuja, hay una fotografía de cuatro mujeres jóvenes miembros del grupo Blackpink posando. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de las mujeres.",Si,Anclaje,Chino Mandarín,,Desconocido,105,,"Blackpink tienen una imagen y reputacion por todo el mundo, son de los personajes mas famosos de esta decada, “señorita” tiene una connotacion muy chica para lo grandes que son ellas.

Se les podria relacionar con, musica, kpop, idols",Sustantivo,Foto,Icono,,
Señor,CCch,seor.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""señor"" en negro. En la parte inferior derecha, hay una burbuja de diálogo blanca con un borde azul que contiene caracteres chinos en negro y la palabra ""xiānshēng"" en rojo. A la izquierda de la burbuja, hay una ilustración de un hombre con bigote, vestido con un traje y corbata, con una expresión de enfado y el dedo índice levantado. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la ilustración del hombre.",No,Anclaje,Chino Mandarín,,Desconocido,106,,,Sustantivo,Ilustración,Icono,,
Papá,CCch,papa.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""papá"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""bàba"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de un hombre sonriendo y un niño pequeño montado en su espalda, con una flecha roja apuntando a la cabeza del hombre. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de las personas.",No,Anclaje,Chino Mandarín,,Desconocido,107,,,Sustantivo,Foto,Icono,,
Hijo,CCch,erzi.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""hijo"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""érzi"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de un hombre sonriendo y un niño pequeño montado en su espalda, con una flecha roja apuntando a la cabeza del niño. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de las personas.",No,Anclaje,Chino Mandarín,,Desconocido,108,,,Sustantivo,Foto,Icono,,
Mamá,CCch,mama.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""mamá"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""māmā"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de una niña besando la mejilla de una mujer que sonríe. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de las personas.",No,Anclaje,Chino Mandarín,,Desconocido,109,,,Sustantivo,Foto,Icono,,
Hija,CCch,hija.png,"La imagen tiene un fondo blanco en la parte superior y gris claro en la parte inferior. En la parte superior, hay una burbuja de diálogo rosa con un borde blanco y dos estrellas rosadas, que contiene la palabra ""hija"" en negro. En la parte inferior izquierda, hay una burbuja de diálogo blanca con un borde azul que contiene la palabra ""nǚ'ér"" en rojo y dos caracteres chinos en negro. A la derecha de la burbuja, hay una fotografía de una mujer sonriendo y una niña pequeña abrazándola, con una flecha amarilla apuntando a la cabeza de la niña. Los colores predominantes son el blanco, el gris claro, el rosa, el negro, el rojo, el azul y los tonos de la fotografía de las personas.",No,Anclaje,Chino Mandarín,,Desconocido,110,,,Sustantivo,Foto,Icono,,
